Telefon\zmienne;Ocena;Cena;Pamiec wbudowana;Pamiec RAM;Waga (g);bateria (mAh);Zegar procesora (Mhz);roznica kwartalow;Megapiksele
Apple iphone 15;7.28;4192;128;6;171;3349;3460;1;48
Samsung Galaxy A54;7.95;1599;128;8;202;5000;2400;3;50
Motorola g72;6.89;899;128;8;166;5000;2200;4;108
DOOGEE SMINI;6.25;1200;256;8;155;3000;2200;0;50
ULEFONE NOTE 16 PRO;5;697.7;128;8;184;4400;1600;2;50
Google Pixel 6pro;7.51;2250;128;12;210;5003;2800;8;50
HTC U23 PRO;7.78;1899;256;12;205;4600;2400;2;108
HTC DESIRE 22 PRO;5.82;998;128;8;205.5;4520;2200;6;64
HTC 10;8.78;555;32;4;161;3000;2200;30;12
Xiaomi Redmi Note 13 Pro 5G;6.81;3700;512;16;187;5100;2800;1;200
SAMSUNG GALAXY S23;8.22;3048;128;8;167;3900;3360;3;50
Huawei Mate 60 RS Ultimate;6.79;11000;1000;16;246;5000;2620;1;48
Apple iphone 15 pro max;8.22;9504;1000;8;221;4422;3770;1;48
Apple iphone 13;5.48;2819;128;4;174;4085;3220;9;12
ASUS ROG PHONE 7 ULTIMATE;6.83;6499;512;16;246;6000;4200;2;50
ASUS ROG PHONE 7;8.23;3999;512;16;239;6000;3200;2;50
POCO F3;7.47;1399;128;6;196;4520;3200;11;48
OPPO A91;7.28;939;128;8;172;4025;2100;12;48
POCO F5 PRO;8.64;2369;256;12;204;5160;3200;2;64
nubia red magic 7 pro;6.07;4799;512;16;235;5000;3000;7;64
NOKIA 3310 2017 DUAL SIM;6.15;249;0.015625;0.015625;79.6;1200;0;26;2
POCO X3 NFT;7.26;1249;128;6;215;5160;2300;13;64
MICROSOFT LUMIA 650;8.81;483;16;1;122;2000;1300;32;8
